influenza_lhd,spatial_lhd,lhd_code
Sydney,Sydney,X700
Northern NSW,Northern NSW,X810
Northern Sydney,Northern Sydney,X760
Far WEST,Far West,X860
Western NSW,Western NSW,X850
Mid North Coast,Mid North Coast,X820
Illawarra Shoalhaven,Illawarra Shoalhaven,X730
Nepean Blue Mountains,Nepean Blue Mountains,X750
Murrumbidgee,Murrumbidgee,X840
Central Coast,Central Coast,X770
Souther Eastern Sydney,South Eastern Sydney,X720
Southern NSW,Southern NSW,X830
South Western Sydney,South Western Sydney,X710
Hunter New England,Hunter New England,X800
Western Sydney,Western Sydney,X740
South Eastern Sydney,South Eastern Sydney,X720
